outlet_a,group_a,outlet_b,group_b,shared_clusters,jaccard
rt_russian,ru_state,tribuna_ee,trusted,1,0.0238
shot_shot,ru_state,uniannet,ukraine,2,0.0238
spravdi,trusted,voenacher,ru_state,1,0.0238
15min_lt_lt,trusted,lachentyt,ru_state,1,0.0233
RVvoenkor,ru_state,readovkanews,ru_state,2,0.0233
_generic_government,trusted,wartranslated,independent,1,0.0233
err_rus,trusted,postimees_et,trusted,1,0.0233
meduza,unknown,readovkanews,ru_state,1,0.0233
shot_shot,ru_state,warfakes,ru_state,1,0.0233
_generic_baltic_media,trusted,_generic_russian_independent,independent,4,0.0231
_generic_data_source,data_source,_generic_government,trusted,2,0.0230
TCH_channel,ukraine,pravda_en,unknown,1,0.0227
TCH_channel,ukraine,tvnet,unknown,1,0.0227
_generic_pro_kremlin,ru_state,lsm_en,trusted,1,0.0227
breaking_defense,trusted,defence_blog,trusted,1,0.0227
err_rus,trusted,interfax,ru_state,1,0.0227
lachentyt,ru_state,vz_lt,trusted,1,0.0227
pravda_en,unknown,wartranslated,independent,1,0.0227
tass_ru,ru_state,truexanewsua,ukraine,2,0.0227
tvnet,unknown,wartranslated,independent,1,0.0227
_generic_ukraine_media,ukraine,deepstatemap,ukraine,4,0.0225
_generic_estonian_media,trusted,postimees_rus,trusted,5,0.0223
_generic_russian_independent,independent,err_rus,trusted,1,0.0222
dva_majors,ru_state,wargonzo,ru_state,1,0.0222
insider_ua,ukraine,tvnet,unknown,1,0.0222
insider_ua,ukraine,yle_fi,unknown,1,0.0222
rt_russian,ru_state,uniannet,ukraine,2,0.0222
shot_shot,ru_state,yurasumy,ru_state,1,0.0222
insider_ua,ukraine,tass_ru,ru_state,2,0.0220
_generic_pro_kremlin,ru_state,mke_ee,trusted,1,0.0217
_generic_pro_kremlin,ru_state,postimees_rus,trusted,1,0.0217
_generic_t2,trusted,suspilne_news,ukraine,4,0.0216
TCH_channel,ukraine,tribuna_ee,trusted,1,0.0213
_generic_russian_independent,independent,voenacher,ru_state,1,0.0213
insider_ua,ukraine,yle_en,unknown,1,0.0213
15min_lt_lt,trusted,wartranslated,independent,1,0.0208
_generic_government,trusted,_generic_russian_language_ee,ru_proxy,1,0.0208
deepstatemap,ukraine,rybar,ru_state,1,0.0208
deepstatemap,ukraine,truexanewsua,ukraine,1,0.0208
nach_shtabu,ru_state,sternenko,ukraine,1,0.0208
postimees_et,trusted,shot_shot,ru_state,1,0.0208
postimees_rus,trusted,rt_russian,ru_state,1,0.0208
rezident_ua,ru_state,sternenko,ukraine,1,0.0208
_generic_estonian_media,trusted,_generic_russian_state,ru_state,16,0.0206
15min_lt_lt,trusted,insider_ua,ukraine,1,0.0204
TCH_channel,ukraine,vz_lt,trusted,1,0.0204
_generic_russian_language_ee,ru_proxy,yle_fi,unknown,1,0.0204
lachentyt,ru_state,nach_shtabu,ru_state,1,0.0204
lachentyt,ru_state,rezident_ua,ru_state,1,0.0204
vz_lt,trusted,wartranslated,independent,1,0.0204
_generic_russian_language_ee,ru_proxy,postimees_en,unknown,1,0.0200
_generic_russian_language_ee,ru_proxy,uniannet,ukraine,2,0.0200
_generic_t1,trusted,postimees_en,unknown,2,0.0200
breaking_defense,trusted,dva_majors,ru_state,1,0.0200
insider_ua,ukraine,vz_lt,trusted,1,0.0200
meduza,unknown,nexta_live,independent,1,0.0200
_generic_ukraine_media,ukraine,suspilne_news,ukraine,4,0.0198
_generic_pro_kremlin,ru_state,delfi_lt_rus,trusted,1,0.0196
_generic_russian_language_ee,ru_proxy,yle_en,unknown,1,0.0196
colonel_cassad,ru_state,mke_ee,trusted,2,0.0196
colonel_cassad,ru_state,postimees_rus,trusted,2,0.0196
colonel_cassad,ru_state,wargonzo,ru_state,2,0.0196
deepstatemap,ukraine,insider_ua,ukraine,1,0.0196
lachentyt,ru_state,spravdi,trusted,1,0.0196
lachentyt,ru_state,yurasumy,ru_state,1,0.0196
mke_ee,trusted,truexanewsua,ukraine,1,0.0196
nach_shtabu,ru_state,suspilne_news,ukraine,1,0.0196
nexta_live,independent,tvnet,unknown,1,0.0196
nexta_live,independent,yle_fi,unknown,1,0.0196
operativnoZSU,ukraine,tass_ru,ru_state,2,0.0196
truexanewsua,ukraine,wargonzo,ru_state,1,0.0196
ukrinform,trusted,wartranslated,independent,1,0.0196
