source_type,title,content,url,published_at,region,feed_handle,channel,category
gdelt_gkg,irrigator.com.au,,<PAGE_PRECISEPUBTIMESTAMP>20260216061300</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>'Shut the door': Liberal leader mulls migration change</PAGE_TITLE>,2026-02-16T08:00:00,global,PAGE_TITLE>,,other
gdelt_gkg,irrigator.com.au,,<PAGE_PRECISEPUBTIMESTAMP>20260216070000</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Discover the Mediterranean with Atlas Ocean Voyages | The Irrigator</PAGE_TITLE>,2026-02-16T08:00:00,global,PAGE_TITLE>,,other
gdelt_gkg,irrigator.com.au,,"<PAGE_PRECISEPUBTIMESTAMP>20260216064300</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Steelmaker pledges dividend bonanza, but shares drop</PAGE_TITLE>",2026-02-16T08:00:00,global,PAGE_TITLE>,,other
gdelt_gkg,irrigator.com.au,,<PAGE_LINKS>https://www.carsguide.com.au/ev/advice/ev-battery-technology-explained-83111;https://www.carsguide.com.au/ev/advice/everything-you-need-to-know-about-charging-electric-cars-84991;https://www.carsguide.com.au/ford</PAGE_LINKS><PAGE_PRECISEPUBTIMESTAMP>20260216060000</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Everest and Ranger models recalled</PAGE_TITLE>,2026-02-16T08:00:00,global,www.carsguide.com.au,,other
gdelt_gkg,irrigator.com.au,,<PAGE_LINKS>https://www.carsguide.com.au/car-advice/engine-capacity-what-does-cc-mean-70785;https://www.carsguide.com.au/car-advice/utes-are-the-most-versatile-cars-on-the-road-but-should-i-buy-one-35972;https://www.carsguide.com.au/car-advice/what-is-a-turbocharger-36401;https://www.carsguide.com.au/car-advice/whats-the-difference-between-diesel-and-petrol-cars-47267;https://www.carsguide.com.au/car-advice/why-suvs-are-becoming-so-popular-34463;https://www.carsguide.com.au/ev/advice/hybrid-vs-plug-in-hybrid-whats-the-difference-83034;https://www.carsguide.com.au/ford;https://www.carsguide.com.au/ford/everest;https://www.carsguide.com.au/ford/ranger;https://www.carsguide.com.au/nissan/navara;https://www.carsguide.com.au/toyota/landcruiser-prado;https://www.carsguide.com.au/tradies/advice/why-choose-an-extra-cab-ute-instead-of-a-single-cab-or-dual-cab-73045</PAGE_LINKS><PAGE_PRECISEPUBTIMESTAMP>20260216060000</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Ford big guns in price change</PAGE_TITLE>,2026-02-16T08:00:00,global,www.carsguide.com.au,,other
gdelt_gkg,irrigator.com.au,,<PAGE_PRECISEPUBTIMESTAMP>20260216055400</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Glass half full: Penfolds owner 'excited' despite loss</PAGE_TITLE>,2026-02-16T08:00:00,global,PAGE_TITLE>,,other
gdelt_gkg,irrigator.com.au,,<PAGE_PRECISEPUBTIMESTAMP>20260216032400</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Data doesn't match hype on intermittent fasting: study</PAGE_TITLE>,2026-02-16T08:00:00,global,PAGE_TITLE>,,other
gdelt_gkg,irrigator.com.au,,<PAGE_LINKS>https://www.bordermail.com.au/story/9174424/sussan-ley-stepping-down-after-25-years-as-member-for-farrer/;https://www.bordermail.com.au/story/9174546/murray-mp-helen-dalton-considers-farrer-run-after-ley-exit/</PAGE_LINKS><PAGE_PRECISEPUBTIMESTAMP>20260216063000</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Nationals MP Wers Fang reflects on Helen Dalton's One Nation step</PAGE_TITLE>,2026-02-16T08:00:00,global,www.bordermail.com.au,,other
gdelt_gkg,irrigator.com.au,,<PAGE_PRECISEPUBTIMESTAMP>20260216050500</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Man's vow after allegedly sexually assaulting teen</PAGE_TITLE>,2026-02-16T08:00:00,global,PAGE_TITLE>,,other
gdelt_gkg,irrigator.com.au,,<PAGE_PRECISEPUBTIMESTAMP>20260216070700</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Coles points finger at suppliers for price changes</PAGE_TITLE>,2026-02-16T08:00:00,global,PAGE_TITLE>,,other
