origin_id,cluster_id,title,categories,category_count,first_category,first_published,signal_count,is_relevant,is_baltic,is_security,noise_class
1071,6818,"Стубб заявил, что США изменили внешнюю политику, перестав быть «доброжелательным гегемоном» и став непредсказуемыми.…","{ru_proxy,russian_state}",2,ru_proxy,2026-03-22 10:31:52+00,2,False,False,False,other
1064,5570,Формирования «Хезболлы» в Ираке на пять дней прекратили атаки на посольство США,"{ru_proxy,russian_state}",2,russian_state,2026-03-19 01:04:17+00,2,True,False,True,
1059,7245,"ВХ: судя по всему, США готовятся к наземной операции в Иране","{ru_proxy,ru_state}",2,ru_state,2026-03-20 06:48:46+00,2,False,False,False,middle_east_iran
1041,6931,Овечкин забросил 1000 шайб в НХЛ с учетом чемпионатов и плей-офф,"{ru_proxy,russian_state}",2,russian_state,2026-03-22 18:52:37+00,3,False,False,False,sports_culture
1037,6835,IHA: боеголовку вынесло берег Чёрного моря в Турции,"{ru_proxy,ru_state,unverified_anonymous}",3,ru_state,2026-03-19 23:20:46+00,3,False,False,False,other
1032,5750,Матвиенко: крымчане в 2014 году сорвали планы западных кукловодов,"{russian_state,ru_state}",2,russian_state,2026-03-18 02:49:10+00,2,False,False,False,other
991,6427,"Расчет БПЛА ПВО ""Днепра"" уничтожил разведывательный дрон ВСУ над Херсонщиной","{ru_proxy,russian_state}",2,russian_state,2026-03-22 10:21:52+00,2,True,False,True,
1021,7115,SHOT: России грозит дефицит авиазапчастей из-за войны на Ближнем Востоке,"{ru_proxy,ru_state}",2,ru_state,2026-03-17 09:48:40+00,2,True,False,True,
994,6539,Ким Чен Ын с дочерью прокатился на новом танке,"{ru_state,unverified_commentator}",2,ru_state,2026-03-20 03:11:54+00,2,True,False,True,
1005,6812,Ракету с кораблём «Прогресс МС-33» установили на стартовый стол на Байконуре,"{ru_proxy,russian_state,ru_state}",3,ru_state,2026-03-17 05:39:24+00,4,False,False,False,space_context
1003,6799,Сигнал бедствия подал борт авиакомпании «Россия» над Ленобластью. Прямо сейчас самолёт кружит во Всеволожском районе.…,"{ru_proxy,trusted}",2,ru_proxy,2026-03-22 17:06:30+00,3,True,True,False,
936,6509,"Новым предстоятелем Киевского патриархата избран архиепископ Сумский и Ахтырский Никодим Кобзарь

Одной из ключевых…","{ru_proxy,unverified_anonymous}",2,ru_proxy,2026-03-21 13:27:20+00,2,False,False,False,ukraine_frontline
963,7037,Донецк под атакой украинских БПЛА,"{ru_proxy,unverified_commentator}",2,ru_proxy,2026-03-22 19:51:22+00,2,True,False,True,
966,7075,"‼️🇺🇦🏴‍☠️ На Украине будут искать 2 миллиона уклонистов, — депутат Рады

▪️По словам Бобровской, уклонистов могут начать…","{ru_proxy,unverified_anonymous}",2,ru_proxy,2026-03-20 13:31:36+00,2,False,False,False,ukraine_frontline
979,7119,Сийярто: Киев отказался обсуждать возобновление работы нефтепровода «Дружба»,"{ru_state,trusted}",2,ru_state,2026-03-16 11:27:00+00,2,False,False,False,other
901,6535,Суд взыскал 300 млн рублей с продавца контрафакта Makita на маркетплейсе,"{ru_proxy,ru_state}",2,ru_state,2026-03-20 08:06:26+00,2,False,False,False,domestic_russia
899,6505,"На кенийском острове с ослами застряли около 4 тыс люксовых немецких машин из-за перекрытия Ормузского пролива

Суда с…","{ru_proxy,unverified_media}",2,ru_proxy,2026-03-21 17:23:17+00,2,False,False,False,middle_east_iran
898,6526,"«Фигачить, фигачить, фигачить»: педагог побил студента фаллоимитатором в Казанском политехническом колледже 

С улыбкой…","{ru_proxy,unverified_media}",2,ru_proxy,2026-03-20 15:01:11+00,2,False,False,False,other
891,5486,Депутат Немкин: нужно привлекать профсообщество к обсуждению законопроекта по ИИ,"{ru_proxy,russian_state}",2,russian_state,2026-03-19 11:29:42+00,2,False,False,False,other
889,5240,Умерла жена Басилашвили Галина Мшанская,"{russian_state,ru_state}",2,ru_state,2026-03-20 10:52:17+00,2,False,False,False,domestic_russia
835,6017,Пушилин пообещал отдельную награду от ДНР Герою России Ярашеву,"{russian_state,ru_state}",2,ru_state,2026-03-16 05:15:14+00,2,False,False,False,other
834,5834,Kathimerini: авианосец USS Gerald R. Ford возвращается на критскую базу НАТО,"{russian_state,ru_state}",2,russian_state,2026-03-17 14:21:08+00,2,True,False,True,
879,6873,"Катар на пути к банкротству: две иранские ракеты нанесли ущерб в десятки миллиардов долларов…

Точно еще не посчитано,…","{ru_proxy,unverified_commentator,unverified_media}",3,ru_proxy,2026-03-19 18:08:09+00,3,True,False,True,
