id,cluster_id,first_signal_id,first_source,first_category,first_title,first_published,signal_count,category_count,categories,is_state_origin,created_at
78,5249,374059,rss:rss,trusted,"Ukraine foiled major Russian offensive planned for late 2025, Zelensky says",2026-03-15 21:17:00+00,2,2,"{trusted,unverified_commentator}",f,2026-03-22 19:43:03.021284+00
79,5242,938024,rss:rss,russian_language_ee,Минфин выделит почти 300 000 евро на кампанию по борьбе с мошенниками,2026-03-17 19:30:41+00,3,2,"{estonian_media,russian_language_ee}",f,2026-03-22 19:43:03.021284+00
80,5279,1342751,rss:rss,russian_state,Политик Мема призвал ЕС наладить дипломатические отношения с Россией,2026-03-18 18:13:08+00,2,2,"{russian_state,unverified_media}",t,2026-03-22 19:43:03.021284+00
81,5289,933565,rss:gdelt,"","GDELT [Machulishchy-Belarus]: Trump Slams NATO , Energy Sector Rallies : Markets Today - State Street SPDR Dow Jones Industrial Average ETF Trust ( ARCA : DIA ), Invesco QQQ Trust , Series 1 ( NASDAQ ",2026-03-17 18:30:00+00,3,0,,f,2026-03-22 19:43:03.021284+00
82,5296,2018045,rss:rss,ru_state,Командира ВСУ будут заочно судить за приказ об ударе по порту Кавказ,2026-03-20 10:11:07+00,2,2,"{russian_state,ru_state}",t,2026-03-22 19:43:03.021284+00
83,5252,2018307,rss:rss,trusted,First in Defense Forces: paratroopers show how they test exoskeletons in combat conditions,2026-03-20 10:59:00+00,3,2,"{trusted,ukraine_media}",f,2026-03-22 19:43:03.021284+00
84,5280,2017939,rss:rss,russian_state,На Кубани выявили почти 200 пустующих участков для создания промпредприятий,2026-03-20 11:33:00+00,2,1,{russian_state},t,2026-03-22 19:43:03.021284+00
85,5288,1068303,rss:gdelt,"",GDELT [Pskov-76th-VDV]: Iran Confirms Ali Larijani Killed in Israeli Strike,2026-03-18 03:15:00+00,11,0,,f,2026-03-22 19:43:03.021284+00
86,5282,2018121,rss:rss,defense_osint,Air Force counter-drone lab requests ideas to track and kill small UAS,2026-03-20 11:29:00+00,2,1,{defense_osint},f,2026-03-22 19:43:03.021284+00
87,5229,2018113,rss:rss,russian_state,"Лукашенко анонсировал ""большой договор"" с США",2026-03-20 11:06:03+00,15,4,"{ru_proxy,russian_state,ru_state,unverified_anonymous}",t,2026-03-22 19:43:03.021284+00
88,5287,2018173,rss:rss,defense_osint,New specs emerge on mysterious Russian interceptor drone,2026-03-20 11:00:20+00,2,1,{defense_osint},f,2026-03-22 19:43:03.021284+00
89,5297,2017673,rss:rss,baltic_media,Искусство из консервных банок и гильз на выставке «Искусство выживания. Зеделгем» в Военном музее,2026-03-20 10:09:00+00,2,1,{baltic_media},f,2026-03-22 19:43:03.021284+00
90,5293,60763,rss:gdelt,"","GDELT [Machulishchy-Belarus]: Canada to boost Arctic defenses , says it can no longer rely on others",2026-03-12 23:00:00+00,10,0,,f,2026-03-22 19:43:03.021284+00
91,5292,2017589,rss:rss,baltic_media,'Solar Eclipse' military drills coming soon,2026-03-20 10:34:01+00,2,1,{baltic_media},f,2026-03-22 19:43:03.021284+00
92,5285,78525,rss:gdelt,"","GDELT [Baltiysk-naval]: Trump : US strikes Iran Kharg Island , warns oil infrastructure could be next",2026-03-14 15:30:00+00,11,0,,f,2026-03-22 19:43:03.021284+00
