site,week_of_year,ndvi_expected,ndvi_std,ndvi_mad,ndvi_robust_std,ndvi_n_years,bsi_expected,bsi_std,bsi_mad,bsi_robust_std,bsi_n_years,ndbi_expected,ndbi_std,ndbi_mad,ndbi_robust_std,ndbi_n_years,fuel_ratio_expected,fuel_ratio_std,fuel_ratio_mad,fuel_ratio_robust_std,fuel_ratio_n_years,metal_ratio_expected,metal_ratio_std,metal_ratio_mad,metal_ratio_robust_std,metal_ratio_n_years
Kronstadt,41,0.12884046809779717,0.033882360014828625,6.844512295794969e-06,1.014767392974562e-05,3,-0.06063209498452097,0.05471078234363068,0.02738070532287102,0.040594633711688574,3,-0.14101881074222322,0.09013512490989582,0.08261792691772549,0.1224893384482198,3,0.4611387544564552,0.18396023796496885,0.10931283799343955,0.16206721360907347,3,1.2191888521612944,0.1319214686028717,0.0620665733662491,0.09201990167280091,3
Kronstadt,42,0.15097103876627058,nan,nan,nan,1,0.03218971500773442,nan,nan,nan,1,-0.0015667835466252533,nan,nan,nan,1,0.7186912566411674,nan,nan,nan,1,1.2221125070306247,nan,nan,nan,1
Kronstadt,44,0.15598875782812616,nan,nan,nan,1,-0.009842733635575859,nan,nan,nan,1,-0.02350432979518413,nan,nan,nan,1,0.5699428668782961,nan,nan,nan,1,1.1397170902075697,nan,nan,nan,1
Kronstadt,46,-0.010975723958235963,0.0647808576253323,0.04580698371795273,0.06791343406023671,2,-0.24615678226602564,0.18233915943233353,0.12893325611045806,0.1911564455093651,2,-0.37881627255947414,0.3756793599423657,0.2656454229670686,0.3938459040909759,2,0.367153249313844,0.28736700189118247,0.20319915572650254,0.3012630682801127,2,0.8847730989544955,0.10796359094350824,0.0763417872774052,0.11318433381748096,2
Luga,1,0.032700918544958296,0.02001394351016648,0.014151995174323213,0.020981748045451595,2,-0.29834679443276574,0.06973410965009773,0.04930946181359036,0.07310620808482907,2,-0.6318653237602003,0.22225283253543107,0.15715648502372145,0.23300020469616942,2,0.24610653175560232,0.16854733980438721,0.1191809669266355,0.1766977015654298,2,1.0380950032621958,0.04565599310733263,0.03228366232800117,0.04786375776749453,2
Luga,2,-0.002960514916735672,nan,nan,nan,1,-0.35349735559066525,nan,nan,nan,1,-0.6347470203433403,nan,nan,nan,1,0.20533196472726187,nan,nan,nan,1,0.9511147804516531,nan,nan,nan,1
Luga,3,0.04149675447508984,0.02691911437016567,0.019034688314680383,0.028220828895345135,2,-0.250985625690898,0.0897924210303681,0.06349282980973084,0.09413446947590694,2,-0.5185933223288048,0.2334276753620815,0.1650582921651398,0.24471542396403628,2,0.303659822819477,0.20311878950449597,0.14362667344503202,0.21294090604960447,2,1.052015807098385,0.04738233507162723,0.033504370437600794,0.04967357961078694,2
Luga,4,0.0986036036151769,0.053860902951073805,0.03808540971753482,0.056465428447217116,2,-0.22802695795619204,0.07390767236808614,0.05226061631318733,0.07748158974593154,2,-0.42476640036028557,0.2970412374701795,0.21003987330720753,0.31140511616526584,2,0.32911095862417716,0.18652284133854055,0.1318915659566645,0.1955424356873508,2,1.1316070800697982,0.05659345495917037,0.04001761577240481,0.059330117144167374,2
Luga,5,0.07226580986065301,nan,nan,nan,1,-0.2910147671467287,nan,nan,nan,1,-0.6748039895731306,nan,nan,nan,1,0.20801871239000777,nan,nan,nan,1,1.117023745177379,nan,nan,nan,1
Luga,6,0.014933807733605416,0.08390287992873424,0.05932829535868865,0.08796013069879179,2,-0.32087947107940606,0.05031664411912368,0.03557924026318257,0.052749781614194476,2,-0.6983187145250727,0.009777310749155256,0.006913602732495805,0.01025010741119828,2,0.17574371372919137,0.01132434410824968,0.008007520511433275,0.011871949910250973,2,0.9660141745739822,0.1368965852957656,0.09680050378391847,0.14351642691003752,2
Luga,7,0.035025891347125984,0.009860074017112691,0.0069721252005016665,0.01033687282226377,2,-0.23828430720187987,0.04899253948243742,0.03464295689558117,0.05136164789338864,2,-0.5479060797483942,0.19609014695229982,0.13865667263383782,0.20557238284692794,2,0.29195399473813277,0.16850460716638166,0.11915075038852378,0.17665290252602536,2,1.0496547930459954,0.021169052985468367,0.014968780917322011,0.022192714588021613,2
Luga,8,0.05273619535278955,nan,nan,nan,1,-0.29110396796495436,nan,nan,nan,1,-0.7442189511787283,nan,nan,nan,1,0.1318445034606127,nan,nan,nan,1,1.0774913364190772,nan,nan,nan,1
Luga,9,0.08394770098774743,0.06907772886437274,0.048845330508963676,0.07241808701258955,2,-0.18994802839256705,0.1043168786684322,0.07376317229866272,0.10936127924999735,2,-0.504882524346072,0.2775221798061187,0.19623781527057887,0.2909421849201602,2,0.2804459122534231,0.16668671884277841,0.11786530922746408,0.17474710746063823,2,1.1118586416621232,0.11711981306432485,0.0828162140290849,0.12278331891952127,2
Luga,10,0.11710076796219207,0.04967858738839278,0.035128066022101036,0.052080870684366995,2,-0.12214817271038894,0.08983925483550469,0.0635259463109317,0.09418356800058733,2,-0.3278570878532915,0.17114535209848195,0.12101803903739591,0.17942134467684318,2,0.3984457728901813,0.15447302289373493,0.10922892199854478,0.16194279975504247,2,1.163086653230995,0.07655795180850558,0.05413464687754721,0.08026002746065149,2
